date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-01-22,20.2,66,1017.2,9.5,0.0,90.925,52.3125,1023.2083333333334,48.75,20.53333333333333,79.70833333333333,151.41666666666666
2024-01-23,20.6,69,1017.4,10.1,0.0,80.89166666666667,42.875,659.1666666666666,34.479166666666664,16.95,79.79166666666667,110.25
2024-01-24,18.8,60,1017.7,9.5,0.0,98.5875,54.44583333333333,828.9583333333334,35.00416666666667,27.28333333333333,88.70833333333333,138.54166666666666
2024-01-25,19.1,70,1017.9,9.9,0.0,105.91666666666669,59.60416666666666,1041.5,47.51666666666667,23.0875,71.5,152.83333333333334
2024-01-26,20.2,60,1019.3,13.2,0.0,92.4375,54.81666666666666,804.5416666666666,34.8375,21.0375,88.04166666666667,141.16666666666666
2024-01-27,20.5,50,1019.6,15.0,0.0,96.1625,60.22916666666666,869.2083333333334,26.6375,21.70833333333333,109.45833333333331,151.95833333333334
2024-01-28,19.4,66,1017.4,11.2,0.0,90.8125,54.333333333333336,823.0,21.525,19.775,100.29166666666669,151.375
2024-01-29,22.8,75,1016.7,12.7,0.4,50.05833333333334,23.875,357.0416666666667,18.9,5.9625,75.83333333333333,113.29166666666669
2024-01-30,22.1,81,1016.1,8.9,0.8,74.53750000000001,24.225,375.125,24.116666666666664,7.258333333333333,63.375,72.79166666666667
2024-01-31,22.7,80,1014.3,12.1,0.3,61.4125,22.504166666666663,344.625,20.55,6.3,71.125,74.04166666666667
2024-02-01,22.9,63,1014.6,10.9,0.0,87.56666666666666,27.925,384.0833333333333,22.69583333333333,9.95,78.29166666666667,73.33333333333333
2024-02-02,23.2,73,1016.2,6.4,0.0,134.66666666666666,40.766666666666666,409.9166666666667,27.666666666666668,11.325,59.79166666666666,100.08333333333331
2024-02-03,21.9,76,1015.6,17.5,3.2,91.7875,35.237500000000004,519.0,32.362500000000004,10.666666666666666,46.29166666666666,116.25
2024-02-04,22.8,80,1015.7,13.0,1.2,79.15833333333333,24.1125,321.1666666666667,20.28333333333333,5.2125,71.0,82.91666666666667
2024-02-05,21.4,77,1016.4,11.1,0.0,48.82916666666667,26.34166666666667,481.375,27.379166666666663,11.320833333333333,79.0,80.25
2024-02-06,21.5,73,1016.9,10.5,0.1,53.72083333333333,24.35833333333333,451.0833333333333,26.5,10.25,84.08333333333333,80.16666666666667
2024-02-07,22.5,60,1019.5,12.7,0.0,68.6375,31.97083333333333,445.5416666666667,21.1125,11.825,79.375,81.875
2024-02-08,20.8,44,1021.1,15.0,0.0,52.645833333333336,28.35,482.0416666666667,24.008333333333336,13.416666666666666,89.91666666666667,93.20833333333331
2024-02-09,19.4,55,1018.5,10.5,0.0,53.35,26.85833333333333,575.8333333333334,32.55416666666667,11.866666666666667,74.95833333333333,85.70833333333333
2024-02-10,21.3,66,1019.4,10.9,0.0,53.35833333333333,25.3,496.7916666666667,30.27083333333333,11.033333333333331,85.04166666666667,81.16666666666667
2024-02-11,21.4,41,1020.1,10.8,0.0,44.95416666666667,25.73333333333333,483.9583333333333,27.979166666666668,13.35,88.20833333333333,79.79166666666667
2024-02-12,21.5,39,1018.9,12.3,0.0,50.90416666666667,32.770833333333336,624.3333333333334,36.22916666666666,16.037499999999998,84.75,86.29166666666667
2024-02-13,21.2,46,1019.0,8.3,0.0,64.31666666666666,38.81666666666667,752.5,45.87916666666666,21.2375,69.0,101.79166666666669
2024-02-14,21.3,50,1019.5,10.6,0.0,73.55416666666666,43.7875,938.875,50.07083333333333,20.425,68.41666666666667,117.41666666666669
2024-02-15,21.4,54,1018.9,10.3,0.0,79.575,48.19583333333333,955.0416666666666,51.81666666666666,17.633333333333333,71.625,128.83333333333334
2024-02-16,22.2,40,1018.3,12.5,0.0,60.19166666666666,36.8625,863.2083333333334,52.72083333333333,17.279166666666665,65.125,118.125
2024-02-17,22.0,46,1015.1,11.9,0.0,50.0125,30.85833333333333,730.0,44.55833333333334,15.104166666666666,70.91666666666667,104.375
