date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2025-03-04,102.9625,36.35833333333333,582.5416666666666,25.941666666666663,14.058333333333332,79.125,104.66666666666669
2025-03-05,36.375,21.120833333333334,600.0416666666666,23.4875,15.2375,90.5,87.08333333333333
2025-03-06,33.46666666666667,20.3625,547.4583333333334,25.054166666666664,17.1375,88.04166666666667,71.45833333333333
2025-03-07,46.30416666666667,22.666666666666668,753.875,25.475,16.229166666666668,88.70833333333333,73.375
2025-03-08,69.52083333333333,22.820833333333336,524.5,20.354166666666668,12.154166666666669,74.25,76.33333333333333
2025-03-09,59.275,27.7375,619.2916666666666,28.6625,18.370833333333334,84.79166666666667,84.54166666666667
2025-03-10,45.24583333333334,25.429166666666664,697.9583333333334,34.2,17.775000000000002,60.41666666666666,82.29166666666667
2025-03-11,32.1,22.558333333333334,680.5,36.829166666666666,17.516666666666666,60.625,77.66666666666667
2025-03-12,26.891666666666666,18.25,524.0416666666666,25.204166666666666,13.645833333333334,63.29166666666666,68.29166666666667
2025-03-13,30.5375,15.5875,412.25,16.537499999999998,10.516666666666667,81.95833333333333,58.458333333333336
2025-03-14,66.83749999999999,24.5625,344.6666666666667,12.870833333333332,10.2,89.33333333333333,64.08333333333333
2025-03-15,66.58749999999999,28.854166666666668,450.9583333333333,16.570833333333333,14.783333333333331,103.66666666666669,93.08333333333331
2025-03-16,64.0,26.39583333333333,509.25,20.941666666666663,14.9875,99.125,88.04166666666667
2025-03-17,58.99166666666667,29.10833333333333,574.875,35.00833333333333,19.070833333333333,70.95833333333333,89.75
2025-03-18,37.2,16.533333333333335,644.0833333333334,21.308333333333334,13.770833333333334,82.45833333333333,72.54166666666667
2025-03-19,26.8,14.370833333333332,442.25,17.658333333333335,11.604166666666666,81.66666666666667,56.5
2025-03-20,28.85,15.920833333333334,445.0,17.7,13.733333333333334,85.79166666666667,63.875
2025-03-21,34.7875,18.316666666666663,540.0,18.6125,13.954166666666666,91.33333333333331,68.16666666666667
2025-03-22,42.42916666666667,20.875,501.2916666666667,19.816666666666663,12.958333333333334,90.20833333333331,67.70833333333333
2025-03-23,18.6,13.85,468.5416666666667,22.54583333333333,13.870833333333332,84.79166666666667,66.75
2025-03-24,12.154166666666669,9.916666666666666,394.7083333333333,19.766666666666666,12.0625,84.45833333333333,54.25
2025-03-25,19.575,13.979166666666666,329.4583333333333,17.2625,12.970833333333331,82.375,49.29166666666666
2025-03-26,28.179166666666664,15.883333333333333,349.8333333333333,14.945833333333333,11.604166666666666,105.04166666666669,71.45833333333333
2025-03-27,82.35833333333333,27.17083333333333,414.9583333333333,14.679166666666667,11.095833333333331,110.91666666666669,73.29166666666667
2025-03-28,93.35833333333332,27.454166666666666,549.2916666666666,22.60833333333333,16.412499999999998,108.95833333333331,96.33333333333331
2025-03-29,55.91666666666666,28.5875,776.4166666666666,34.61666666666667,15.804166666666667,88.79166666666667,98.5
2025-03-30,38.6,21.579166666666666,530.7083333333334,23.03333333333333,18.866666666666667,117.54166666666669,96.79166666666669
2025-03-31,38.50833333333333,19.0,627.3333333333334,22.58333333333333,15.954166666666667,93.54166666666669,73.70833333333333
2025-04-01,62.5125,25.320833333333336,588.625,27.433333333333334,18.48333333333333,89.66666666666667,79.70833333333333
2025-04-02,44.02916666666667,25.825,689.0,34.99583333333333,21.745833333333334,80.70833333333333,91.04166666666669
2025-04-03,37.3,22.54583333333333,571.5,29.1375,16.508333333333333,83.125,81.70833333333333
2025-04-04,29.0875,18.879166666666663,646.0833333333334,26.40416666666667,16.266666666666666,99.375,85.875
2025-04-05,14.7125,11.245833333333332,402.2916666666667,18.0625,11.4,90.375,63.375
2025-04-06,28.695833333333336,12.245833333333332,348.625,13.516666666666666,8.983333333333333,96.0,50.0
2025-04-07,21.34583333333333,13.295833333333334,390.5,14.65,9.6125,96.0,55.25
2025-04-08,37.69166666666667,22.745833333333334,450.5833333333333,20.5625,13.458333333333334,82.83333333333333,65.20833333333333
2025-04-09,41.84166666666667,21.04583333333333,449.9583333333333,21.4125,13.758333333333333,74.95833333333333,72.875
2025-04-10,35.22083333333333,17.1625,308.375,15.816666666666668,12.120833333333332,80.375,63.91666666666666
2025-04-11,47.68333333333334,22.391666666666666,347.2083333333333,14.529166666666669,11.020833333333334,82.58333333333333,66.58333333333333
2025-04-12,48.38333333333333,21.641666666666666,379.5416666666667,15.1125,10.75,87.83333333333333,74.41666666666667
2025-04-13,32.270833333333336,15.7625,294.4166666666667,10.575,9.8125,78.58333333333333,61.16666666666666
2025-04-14,29.429166666666664,15.954166666666666,287.1666666666667,10.45,9.195833333333333,76.16666666666667,57.66666666666666
2025-04-15,37.0,17.745833333333334,279.7083333333333,10.483333333333333,9.954166666666667,76.95833333333333,61.125
2025-04-16,41.79166666666666,18.6625,281.8333333333333,9.9125,9.354166666666666,75.20833333333333,63.66666666666666
2025-04-17,31.425,14.716666666666669,276.5416666666667,9.816666666666666,8.570833333333333,73.20833333333333,59.875
2025-04-18,37.516666666666666,17.254166666666666,269.9166666666667,9.375,9.675,92.91666666666669,59.91666666666666
2025-04-19,209.775,52.29583333333333,314.2083333333333,9.866666666666664,10.983333333333334,105.5,82.0
2025-04-20,183.675,51.3875,454.0,14.8,11.745833333333332,99.625,152.95833333333334
2025-04-21,135.11249999999998,45.1,471.9166666666667,18.116666666666667,15.545833333333334,100.91666666666669,127.375
2025-04-22,89.41666666666667,34.65,532.8333333333334,19.945833333333333,16.170833333333334,97.08333333333331,117.66666666666669
2025-04-23,81.21249999999999,28.83333333333333,440.0416666666667,17.129166666666666,12.283333333333331,88.29166666666667,90.875
2025-04-24,44.59583333333333,20.9,383.5833333333333,14.533333333333331,11.075,96.0,81.33333333333333
2025-04-25,54.17083333333333,22.504166666666663,405.2083333333333,14.720833333333331,11.479166666666666,86.33333333333333,71.04166666666667
2025-04-26,69.31666666666666,25.85,369.7083333333333,18.104166666666668,12.7,96.16666666666669,80.58333333333333
2025-04-27,71.2625,28.2125,409.0416666666667,18.65833333333333,11.758333333333333,79.54166666666667,85.04166666666667
2025-04-28,47.9,22.23333333333333,367.8333333333333,15.3625,10.283333333333331,83.0,79.20833333333333
2025-04-29,20.39583333333333,13.508333333333333,322.3333333333333,12.870833333333332,8.758333333333333,90.45833333333331,62.958333333333336
2025-04-30,24.425,14.645833333333334,294.75,11.1125,8.870833333333334,82.08333333333333,55.125
2025-05-01,25.241666666666664,15.679166666666667,282.0833333333333,10.008333333333336,9.066666666666666,81.79166666666667,56.16666666666666
